DM_st0,LFM_st0,DM_all,LFM_all,file,pp,condition,ans,att,acc
0.003423826,0.7597656,0.0029714594,0.23383905,pp217_guess_ans0_att19_acc63.csv,217,guess,0,19,63
0.20365635,0.07726334,0.41715357,0.3019267,pp451_control_ans0_att20_acc68.csv,451,control,0,20,68
0.17888379,0.048646536,0.5139197,0.2585499,pp432_control_ans0_att20_acc70.csv,432,control,0,20,70
0.04599286,0.40589604,0.20503208,0.34307906,pp350_control_ans0_att20_acc99.csv,350,control,0,20,99
0.37331507,0.22968854,0.19575876,0.20123768,pp286_control_ans0_att20_acc78.csv,286,control,0,20,78
0.08223861,0.22974554,0.091584064,0.5964318,pp284_control_ans0_att19_acc70.csv,284,control,0,19,70
0.0015539908,0.87130517,0.0024073247,0.124733515,pp143_guess_ans0_att19_acc82.csv,143,guess,0,19,82
0.56082964,0.12993157,0.24331826,0.06592049,pp370_control_ans0_att20_acc65.csv,370,control,0,20,65
0.23705989,0.14610791,0.34669077,0.27014148,pp403_guess_ans0_att20_acc68.csv,403,guess,0,20,68
0.14420529,0.10895481,0.19856846,0.5482715,pp192_control_ans0_att20_acc83.csv,192,control,0,20,83
0.0988156,0.25221992,0.13086605,0.5180985,pp281_guess_ans0_att20_acc72.csv,281,guess,0,20,72
0.4441302,0.27913532,0.16191857,0.1148159,pp405_guess_ans0_att20_acc79.csv,405,guess,0,20,79
0.0026054943,0.06699709,0.0038248969,0.92657244,pp195_guess_ans0_att20_acc76.csv,195,guess,0,20,76
0.0829652,0.64600885,0.056689445,0.21433656,pp239_guess_ans0_att20_acc68.csv,239,guess,0,20,68
0.3645808,0.13867658,0.33322868,0.1635139,pp321_guess_ans0_att16_acc61.csv,321,guess,0,16,61
0.034871127,0.3511281,0.02204663,0.5919541,pp288_control_ans0_att20_acc79.csv,288,control,0,20,79
0.14004071,0.68558025,0.0410563,0.13332272,pp156_control_ans0_att19_acc97.csv,156,control,0,19,97
0.286082,0.29771587,0.19895808,0.21724398,pp176_control_ans0_att20_acc70.csv,176,control,0,20,70
0.0025429798,0.7502332,0.006078561,0.24114525,pp194_control_ans0_att20_acc88.csv,194,control,0,20,88
0.0014129196,0.34233823,0.0026689258,0.6535799,pp290_control_ans0_att16_acc59.csv,290,control,0,16,59
0.26475698,0.18218975,0.3144635,0.23858984,pp257_guess_ans0_att18_acc56.csv,257,guess,0,18,56
0.5842429,0.15072621,0.2039503,0.06108054,pp197_guess_ans0_att20_acc74.csv,197,guess,0,20,74
0.13946827,0.3259821,0.15953135,0.37501827,pp170_control_ans0_att14_acc55.csv,170,control,0,14,55
0.0013089981,0.86945266,0.0023503401,0.12688799,pp233_guess_ans0_att19_acc93.csv,233,guess,0,19,93
0.2007849,0.52870315,0.07096446,0.19954754,pp273_guess_ans0_att20_acc82.csv,273,guess,0,20,82
0.3843358,0.21838275,0.24440667,0.1528748,pp131_guess_ans0_att18_acc65.csv,131,guess,0,18,65
0.03375942,0.014370169,0.51514196,0.43672842,pp294_control_ans0_att20_acc65.csv,294,control,0,20,65
0.07152646,0.06638084,0.25197074,0.61012197,pp227_guess_ans0_att20_acc70.csv,227,guess,0,20,70
0.4610357,0.20665547,0.23274177,0.09956709,pp427_guess_ans0_att18_acc55.csv,427,guess,0,18,55
