LFM_st0,LFM_all,file,pp,condition,ans,att,acc
0.5488785,0.45112154,pp403_guess_ans0_att20_acc68.csv,403,guess,0,20,68
0.706497,0.29350296,pp192_control_ans0_att20_acc83.csv,192,control,0,20,83
0.69259965,0.30740035,pp281_guess_ans0_att20_acc72.csv,281,guess,0,20,72
0.87540686,0.12459315,pp405_guess_ans0_att20_acc79.csv,405,guess,0,20,79
0.18692996,0.81307006,pp195_guess_ans0_att20_acc76.csv,195,guess,0,20,76
0.95396715,0.046032816,pp239_guess_ans0_att20_acc68.csv,239,guess,0,20,68
0.626529,0.37347102,pp321_guess_ans0_att16_acc61.csv,321,guess,0,16,61
0.53475916,0.46524078,pp288_control_ans0_att20_acc79.csv,288,control,0,20,79
0.97142833,0.02857168,pp156_control_ans0_att19_acc97.csv,156,control,0,19,97
0.870586,0.12941405,pp176_control_ans0_att20_acc70.csv,176,control,0,20,70
0.003968106,0.9960318,pp194_control_ans0_att20_acc88.csv,194,control,0,20,88
0.28339723,0.7166028,pp290_control_ans0_att16_acc59.csv,290,control,0,16,59
0.3997097,0.6002903,pp257_guess_ans0_att18_acc56.csv,257,guess,0,18,56
0.8483624,0.1516376,pp197_guess_ans0_att20_acc74.csv,197,guess,0,20,74
0.7779584,0.22204159,pp170_control_ans0_att14_acc55.csv,170,control,0,14,55
0.9822498,0.017750226,pp233_guess_ans0_att19_acc93.csv,233,guess,0,19,93
0.957758,0.042241998,pp273_guess_ans0_att20_acc82.csv,273,guess,0,20,82
0.80877835,0.19122164,pp131_guess_ans0_att18_acc65.csv,131,guess,0,18,65
0.005074984,0.994925,pp294_control_ans0_att20_acc65.csv,294,control,0,20,65
0.0564692,0.9435308,pp227_guess_ans0_att20_acc70.csv,227,guess,0,20,70
0.87935674,0.12064329,pp427_guess_ans0_att18_acc55.csv,427,guess,0,18,55
