rt,symbol,cond,pp
-1.4797868758617165,0.0,control,160
-1.6081415997824031,0.0,control,160
-1.7479309401766085,0.0,control,160
-0.6453354238699663,0.0,control,160
-1.3564320438789739,0.0,control,160
-1.531587754214395,0.0,control,160
-1.830665877538528,0.0,control,160
-1.2897352242069817,0.0,control,160
-2.1674572478347485,0.0,control,160
-1.5222528599515623,0.0,control,160
-0.6051087757161154,0.0,control,160
-2.160693496054955,0.0,control,160
-1.429558328652894,0.0,control,160
-0.8499158357785395,0.0,control,160
-2.0049590449976185,0.0,control,160
-2.3437601143869244,0.0,control,160
-2.8177735028908852,0.0,control,160
-1.909601368586499,0.0,control,160
-1.948697471083694,0.0,control,160
-2.033175609412347,0.0,control,160
3.748706843738076,0.0,control,160
-1.7422532398505894,0.0,control,160
2.1222162162757345,0.0,control,160
-2.015052692143033,0.0,control,160
-1.5858608907343221,0.0,control,160
-2.1011027994161156,0.0,control,160
-1.8832969187812971,0.0,control,160
-1.4375471228320893,0.0,control,160
-3.5173439598326386,0.0,control,160
-2.45002455829851,0.0,control,160
-1.2023667975459886,0.0,control,160
-1.7450032093262688,0.0,control,160
-2.3013782647406087,0.0,control,160
-1.4605498889669217,0.0,control,160
-2.5448133609276247,0.0,control,160
-1.0925979859651547,0.0,control,160
-1.382406935616897,0.0,control,160
-1.0682805763745429,0.0,control,160
-1.6927118513210564,0.0,control,160
-2.171344045842934,0.0,control,160
-1.0378727667187988,0.0,control,160
-1.178891591813052,0.0,control,160
2.315415105005383,0.0,control,160
-1.1908302082824385,0.0,control,160
-3.923711830586167,0.0,control,160
-1.657544510869831,0.0,control,160
-1.270228061770452,0.0,control,160
-2.1056470106097853,0.0,control,160
-1.3944194250754836,0.0,control,160
-2.0270015054717088,0.0,control,160
-2.1154246675781336,0.0,control,160
-1.9338888383454562,0.0,control,160
-0.8150725736937781,0.0,control,160
-1.7814955293627999,0.0,control,160
-0.9756297613710759,0.0,control,160
-2.0866157664973146,0.0,control,160
-0.692489857455504,0.0,control,160
-0.8678121674242001,0.0,control,160
-1.7063461537118065,0.0,control,160
1.330762358814254,0.0,control,160
-1.599841645466629,0.0,control,160
-2.5593645557242635,0.0,control,160
-0.9632308302873427,0.0,control,160
-1.7807925097629322,0.0,control,160
-1.1863893958189218,0.0,control,160
-2.188786470741487,0.0,control,160
-1.2348012905467391,0.0,control,160
0.9821876368581353,0.0,control,160
-1.167465875063058,0.0,control,160
-0.6026133358575216,0.0,control,160
-1.4379412286639082,0.0,control,160
-1.6209825184032793,0.0,control,160
1.3260283283905654,0.0,control,160
-2.2229744161191904,0.0,control,160
-1.130539516507348,0.0,control,160
-1.171293160474367,0.0,control,160
-1.4076567455242674,0.0,control,160
-1.0255078877310821,0.0,control,160
-0.7724504619513244,0.0,control,160
-1.4854493141675302,0.0,control,160
-1.1526071655276744,0.0,control,160
-2.20719339021145,0.0,control,160
-1.1667821126757856,0.0,control,160
-1.7313993483629455,0.0,control,160
-3.2888639233159216,0.0,control,160
-1.7360830038288317,0.0,control,160
-1.1726980945753511,0.0,control,160
-1.7677459977230399,0.0,control,160
-2.1124421067176193,0.0,control,160
-2.2891463969729076,0.0,control,160
-1.4997793995089153,0.0,control,160
-3.1782311904421032,0.0,control,160
-1.9392630536540665,0.0,control,160
1.739100083828704,0.0,control,160
-3.013327437965584,0.0,control,160
2.1139724311413346,0.0,control,160
2.4029365578932977,0.0,control,160
2.005047872871388,0.0,control,160
-1.174995393907266,0.0,control,160
-1.322870439001575,0.0,control,160
-1.8100461093138351,0.0,control,160
-0.7133364116375066,0.0,control,160
-1.001879654822512,0.0,control,160
-1.864885075048544,0.0,control,160
-1.7562725727004618,0.0,control,160
-1.4139261650214114,0.0,control,160
-1.1682792756569642,0.0,control,160
-2.775850998845068,0.0,control,160
-2.1912226566699955,0.0,control,160
-1.6212336575269046,0.0,control,160
-2.4884671332748103,0.0,control,160
-1.0569397437548824,0.0,control,160
-1.0674749748497256,0.0,control,160
-1.9976036182145598,0.0,control,160
-1.236074894043666,0.0,control,160
-2.130645462250564,0.0,control,160
-1.9206655865882447,0.0,control,160
-2.2969903266086584,0.0,control,160
-0.5484574173504373,0.0,control,160
-1.6654175123867518,0.0,control,160
-1.257400878464618,0.0,control,160
2.9663956271644056,0.0,control,160
-2.1987106137836374,0.0,control,160
-1.4160142571067076,0.0,control,160
-0.5712588880490108,0.0,control,160
-2.2747222214423624,0.0,control,160
-2.20735345753085,0.0,control,160
-0.9626581859523726,0.0,control,160
-2.29118078895461,0.0,control,160
-1.0961816494986,0.0,control,160
-1.7758556234258263,0.0,control,160
-0.8494932043929591,0.0,control,160
-1.6792717748721964,0.0,control,160
-0.9427782553499964,0.0,control,160
-0.7264429485973904,0.0,control,160
-2.5632650084704314,0.0,control,160
-1.847804043972443,0.0,control,160
-1.9534247167626042,0.0,control,160
-2.228865389065062,0.0,control,160
-1.2237095778887477,0.0,control,160
-2.048948846079631,0.0,control,160
-1.773646516637129,0.0,control,160
-3.20167182145645,0.0,control,160
-1.8253757757672484,0.0,control,160
-1.4454200590050537,0.0,control,160
-2.3308648010369772,0.0,control,160
-3.142521686226031,0.0,control,160
-0.47666438684407925,0.0,control,160
-2.249235845949805,0.0,control,160
-2.320785133571617,0.0,control,160
-1.7472748738416883,0.0,control,160
0.8478054664049812,0.0,control,160
-0.9683234117196051,0.0,control,160
-1.0725167701547287,0.0,control,160
-1.2205343994222893,0.0,control,160
-0.6971671025981617,0.0,control,160
-2.1342789624875107,0.0,control,160
-0.9336244718786475,0.0,control,160
1.5652810204706635,0.0,control,160
-2.5139072409818564,0.0,control,160
1.2814294570293754,0.0,control,160
-1.9169777496686335,0.0,control,160
-1.4818825072600792,0.0,control,160
2.750608155802897,0.0,control,160
-2.3431172743692352,0.0,control,160
-2.539088353417827,0.0,control,160
-1.727703844577672,0.0,control,160
-2.5329319169352456,0.0,control,160
-1.269909143233345,0.0,control,160
1.198031775457567,0.0,control,160
-1.147605866768627,0.0,control,160
-1.4387570814115715,0.0,control,160
-2.743754751300993,0.0,control,160
1.8601011276063597,0.0,control,160
-3.1201439030487466,0.0,control,160
-1.9975221920586343,0.0,control,160
2.0555520654988095,0.0,control,160
-1.93336895251277,0.0,control,160
1.7376966524762756,0.0,control,160
-1.7465836016283156,0.0,control,160
-1.1410168559568024,0.0,control,160
-1.7199736710349212,0.0,control,160
-1.5727715610239528,0.0,control,160
-2.4543006739518898,0.0,control,160
-1.7578605702767844,0.0,control,160
-1.8023289854687112,0.0,control,160
-1.9224368317477345,0.0,control,160
-1.4170379486835665,0.0,control,160
-2.388966909017599,0.0,control,160
-0.9133790868513719,0.0,control,160
-1.5716842845392809,0.0,control,160
-1.9263008727069846,0.0,control,160
-1.4462189679447985,0.0,control,160
-1.7819127473013308,0.0,control,160
-1.9472910790081508,0.0,control,160
