rt,symbol,cond,pp
-9.971559997422753,0.0,control,109
15.866275345576986,0.0,control,109
-11.96182086695093,0.0,control,109
-8.494228935399732,0.0,control,109
-7.894613580618027,0.0,control,109
-7.450036161609914,0.0,control,109
16.07542122463966,0.0,control,109
-8.455056568798717,0.0,control,109
15.400902196450648,0.0,control,109
-10.41633509237391,0.0,control,109
-7.695909170162339,0.0,control,109
-11.22162019455352,0.0,control,109
-9.758501856665857,0.0,control,109
-14.61906091146907,0.0,control,109
-9.323119982298227,0.0,control,109
-8.385779398785994,0.0,control,109
-8.503616312085882,0.0,control,109
-7.224972279080628,0.0,control,109
-7.987348678269189,0.0,control,109
-7.8465979632772225,0.0,control,109
-8.68544149355254,0.0,control,109
-8.511845533116054,0.0,control,109
-7.788481006917733,0.0,control,109
-7.518652481706424,0.0,control,109
-8.561582324461812,0.0,control,109
-7.839922217925249,0.0,control,109
-9.652283272190724,0.0,control,109
-13.272676448179764,0.0,control,109
-11.36354806704251,0.0,control,109
-9.170664640077439,0.0,control,109
-10.12993552107157,0.0,control,109
-9.883702974783796,0.0,control,109
-10.19825355083772,0.0,control,109
10.460522617693584,0.0,control,109
-9.201743244498514,0.0,control,109
-11.034908216060817,0.0,control,109
-11.141055350301212,0.0,control,109
-12.472539849765422,0.0,control,109
-11.521442591813644,0.0,control,109
-11.149690582668773,0.0,control,109
-11.84523121239877,0.0,control,109
-8.33630032274118,0.0,control,109
-8.752750638521846,0.0,control,109
-7.888227082643075,0.0,control,109
-8.859076712380475,0.0,control,109
-11.026804302331652,0.0,control,109
-7.190927835077063,0.0,control,109
-9.803130039862113,0.0,control,109
-9.828498133477305,0.0,control,109
-10.905286842662456,0.0,control,109
-8.486855401841984,0.0,control,109
-11.113401913657205,0.0,control,109
-7.787996146820268,0.0,control,109
-8.192255235371258,0.0,control,109
-8.507273291690934,0.0,control,109
-10.851443132597844,0.0,control,109
-8.326500502847605,0.0,control,109
-10.154452139077012,0.0,control,109
-7.2218865989457734,0.0,control,109
-12.636028492561554,0.0,control,109
-15.302062495057044,0.0,control,109
-8.818127849833147,0.0,control,109
-9.125888029899365,0.0,control,109
-6.294486112186264,0.0,control,109
-9.500767927313477,0.0,control,109
-8.41014287232173,0.0,control,109
-10.477067624310248,0.0,control,109
-9.915054220742649,0.0,control,109
-7.760297126015672,0.0,control,109
-8.593632227058732,0.0,control,109
-12.464462395861378,0.0,control,109
-9.362760032702445,0.0,control,109
-8.524558885698,0.0,control,109
-10.237927724640137,0.0,control,109
-10.389794939825773,0.0,control,109
-9.853528837242836,0.0,control,109
-8.671589558417232,0.0,control,109
-9.116629030650568,0.0,control,109
-6.558733302467215,0.0,control,109
-8.71065029516843,0.0,control,109
-10.560228595558849,0.0,control,109
-8.681698957993447,0.0,control,109
-7.061750005740286,0.0,control,109
-7.6010443471909355,0.0,control,109
-11.496777066269367,0.0,control,109
-7.8441460182146265,0.0,control,109
-7.180203348047026,0.0,control,109
-13.848382397410848,0.0,control,109
-8.867191322478227,0.0,control,109
-9.562237072758608,0.0,control,109
-7.714053772577069,0.0,control,109
-8.785752075455015,0.0,control,109
-7.024815590378405,0.0,control,109
-14.59528592074061,0.0,control,109
-10.900576926821243,0.0,control,109
-14.037565687232359,0.0,control,109
-8.711975872644466,0.0,control,109
-9.104582863524623,0.0,control,109
15.362920876170035,0.0,control,109
-9.577365996460365,0.0,control,109
-11.537559112564296,0.0,control,109
-9.91592196119494,0.0,control,109
-9.035763797512164,0.0,control,109
-11.277632947983443,0.0,control,109
-6.469667340915903,0.0,control,109
-8.281944449528774,0.0,control,109
-10.68765786904564,0.0,control,109
-13.506371884092061,0.0,control,109
-6.534295638705547,0.0,control,109
-8.461242375224408,0.0,control,109
-9.71262781437704,0.0,control,109
-9.921965198166077,0.0,control,109
-10.598911700346262,0.0,control,109
-9.997845473549537,0.0,control,109
-7.228438265845869,0.0,control,109
-9.919579784111725,0.0,control,109
-9.500078237837776,0.0,control,109
-11.139870441063316,0.0,control,109
-8.288593037441354,0.0,control,109
-12.442678753946215,0.0,control,109
-7.154848199788575,0.0,control,109
-7.452935345091299,0.0,control,109
6.321942653034553,0.0,control,109
-10.5991021229198,0.0,control,109
-8.830232506708947,0.0,control,109
-7.980887341712382,0.0,control,109
-8.771351857897402,0.0,control,109
-9.332893500924092,0.0,control,109
-6.86613598187705,0.0,control,109
-7.533026315708035,0.0,control,109
-8.439557443500666,0.0,control,109
-10.659980800678559,0.0,control,109
-9.88721827835684,0.0,control,109
-6.563081251617406,0.0,control,109
-8.76372365517581,0.0,control,109
-9.294673849620608,0.0,control,109
-11.821389961888512,0.0,control,109
-7.409072066619396,0.0,control,109
-6.894674377757416,0.0,control,109
-10.040555420991698,0.0,control,109
-7.319705052437866,0.0,control,109
-9.482634726673375,0.0,control,109
-10.505443882587219,0.0,control,109
-9.662550058061726,0.0,control,109
-12.138443213535197,0.0,control,109
-7.977474201756423,0.0,control,109
-10.692949666136675,0.0,control,109
-7.20426806351635,0.0,control,109
-8.523777498315146,0.0,control,109
-7.8262422937031335,0.0,control,109
-11.949932125836524,0.0,control,109
-15.127196992605842,0.0,control,109
-12.078126318822466,0.0,control,109
16.12574660200671,0.0,control,109
-8.141275601770154,0.0,control,109
-8.540085127170228,0.0,control,109
-8.549113347015018,0.0,control,109
-11.067899762015353,0.0,control,109
-11.730538600948805,0.0,control,109
-9.457182666325856,0.0,control,109
-14.86215340318103,0.0,control,109
-7.504755930090449,0.0,control,109
-8.31814665215918,0.0,control,109
9.66681370752449,0.0,control,109
10.911928166407996,0.0,control,109
-9.8075442174041,0.0,control,109
-8.956880099070704,0.0,control,109
-12.227355466395553,0.0,control,109
15.779235105970269,0.0,control,109
-8.33627833565609,0.0,control,109
-11.735895887589965,0.0,control,109
12.835843123172001,1.0,control,109
11.162294615510193,1.0,control,109
7.28957743822988,1.0,control,109
8.086419871854348,1.0,control,109
-10.507010086074697,1.0,control,109
9.808299122193503,1.0,control,109
6.083734941461472,1.0,control,109
6.796083787256066,1.0,control,109
12.357765031339436,1.0,control,109
13.36147862433274,1.0,control,109
15.772118035903073,1.0,control,109
7.336698271507113,1.0,control,109
10.403947003677835,1.0,control,109
9.854817521385108,1.0,control,109
9.79848967951184,1.0,control,109
9.152899050052156,1.0,control,109
11.26630592140723,1.0,control,109
6.764950675138673,1.0,control,109
8.447155019708372,1.0,control,109
7.739391552499762,1.0,control,109
11.081008823158864,1.0,control,109
-7.262101753146666,1.0,control,109
6.79244996549277,1.0,control,109
6.6360442009029175,1.0,control,109
15.511413115150573,1.0,control,109
7.554874856352864,1.0,control,109
7.132431690775927,1.0,control,109
10.519468066337073,1.0,control,109
6.600764040590355,1.0,control,109
11.449995952812456,1.0,control,109
10.379858110378212,1.0,control,109
7.6686683673659815,1.0,control,109
7.467170548383155,1.0,control,109
7.568076590054094,1.0,control,109
14.960779330295907,1.0,control,109
7.85726735528832,1.0,control,109
6.841812842311415,1.0,control,109
7.594138691011045,1.0,control,109
7.304143365167155,1.0,control,109
8.363292069405196,1.0,control,109
8.33973585377495,1.0,control,109
6.19653145099983,1.0,control,109
8.451204704398762,1.0,control,109
7.233169066055553,1.0,control,109
15.982395373253322,1.0,control,109
8.866571841720488,1.0,control,109
6.723043010050092,1.0,control,109
12.368861946515732,1.0,control,109
7.073856563677964,1.0,control,109
8.39138590427147,1.0,control,109
9.115761252357817,1.0,control,109
16.13063075497662,1.0,control,109
11.475555657903204,1.0,control,109
8.610652354552201,1.0,control,109
14.994842090548765,1.0,control,109
9.47196879556789,1.0,control,109
6.966046494553926,1.0,control,109
9.105749416483754,1.0,control,109
8.450961526534172,1.0,control,109
8.89092503478663,1.0,control,109
6.827398984834368,1.0,control,109
10.336512714374262,1.0,control,109
6.539933973482424,1.0,control,109
9.490415386210127,1.0,control,109
11.705757758037965,1.0,control,109
15.785580381874741,1.0,control,109
9.466737312657157,1.0,control,109
10.423590272924784,1.0,control,109
