t0,st0,zr,v0,v1,a,alpha,file,pp,cond,ans,att,acc
0.6920612,0.42003828,0.60517305,-0.40248606,0.1625451,1.2541616,1.7169951,pp246_guess_ans0_att19_acc61.csv,246,guess,0,19,61
5.424606,1.4251758,0.6658497,-0.78963256,0.016156359,7.7028337,1.8711416,pp161_control_ans0_att20_acc98.csv,161,control,0,20,98
0.721969,0.61125255,0.37554905,-0.047820807,0.33248395,2.8980007,1.1311508,pp578_guess_ans0_att18_acc62.csv,578,guess,0,18,62
1.8850614,1.4159307,0.50170535,-0.39576012,0.31225064,3.985409,1.8393785,pp565_control_ans0_att20_acc83.csv,565,control,0,20,83
0.6876838,0.51532537,0.54176694,0.33142808,0.40134817,1.7824655,1.1485466,pp309_control_ans0_att13_acc52.csv,309,control,0,13,52
0.91541076,1.2758441,0.54100716,-0.251334,0.1571185,3.085517,1.2620765,pp393_control_ans0_att20_acc67.csv,393,control,0,20,67
1.5651621,1.4117968,0.41411275,-0.15863134,0.15894403,3.1445618,1.1380501,pp35_control_ans0_att16_acc59.csv,35,control,0,16,59
3.545732,1.4373474,0.73949397,-0.42546552,-0.4931499,7.857075,1.6570729,pp330_guess_ans0_att19_acc77.csv,330,guess,0,19,77
0.8225039,0.22560842,0.45637208,-0.15965812,0.37927186,2.5573902,1.7532886,pp210_guess_ans0_att20_acc69.csv,210,guess,0,20,69
1.9347469,1.3617481,0.5910629,-0.73867255,0.42570034,3.6030042,1.0969932,pp227_control_ans0_att19_acc75.csv,227,control,0,19,75
1.8188543,1.245448,0.4817244,-0.22508979,0.2695944,3.357822,1.4650722,pp124_guess_ans0_att20_acc67.csv,124,guess,0,20,67
0.68848634,0.4474956,0.556785,-0.2082326,0.26419935,1.7074428,1.5867144,pp269_control_ans0_att20_acc64.csv,269,control,0,20,64
1.0160595,0.8955658,0.68857366,-0.69447386,0.6042606,0.8534541,1.7717582,pp159_control_ans0_att20_acc65.csv,159,control,0,20,65
0.836304,1.0385218,0.5044206,-0.31706238,0.25239307,3.2310805,1.478812,pp472_guess_ans0_att20_acc73.csv,472,guess,0,20,73
1.3028173,1.2453741,0.52603513,-0.21108596,0.23855495,2.682584,1.5105207,pp603_control_ans0_att20_acc64.csv,603,control,0,20,64
0.7011317,0.773465,0.675938,-0.16634983,-0.26536024,2.6895995,1.0435492,pp19_control_ans0_att12_acc52.csv,19,control,0,12,52
1.1173941,1.1444681,0.3660627,-0.4809688,0.31875694,2.3778665,1.6442246,pp207_control_ans0_att20_acc72.csv,207,control,0,20,72
1.064027,1.3921301,0.51125157,-0.15811779,-0.00498346,3.8747172,1.0714703,pp240_guess_ans0_att20_acc61.csv,240,guess,0,20,61
5.777293,1.367011,0.58864665,-0.72539896,0.522051,5.8815346,1.9909158,pp109_control_ans0_att20_acc100.csv,109,control,0,20,100
2.2528849,1.4328778,0.38294566,-0.39088365,-0.38664037,7.7352233,1.4802157,pp421_control_ans0_att20_acc68.csv,421,control,0,20,68
0.70572996,0.4788145,0.6137357,-0.71731323,0.12259865,1.8414801,1.5291575,pp517_control_ans0_att19_acc70.csv,517,control,0,19,70
7.6650424,1.4222028,0.6576308,-0.7619723,0.38538706,7.5213985,1.9138695,pp595_control_ans0_att20_acc100.csv,595,control,0,20,100
4.832213,0.9482186,0.46931905,-1.142422,1.1954004,7.1672893,1.62318,pp187_control_ans0_att20_acc97.csv,187,control,0,20,97
4.364284,0.9287129,0.55554456,-1.1442249,1.2073824,7.3204226,1.7778887,pp569_control_ans0_att20_acc99.csv,569,control,0,20,99
1.9112,1.3755703,0.54115593,-0.5709746,0.27508053,5.594292,1.226206,pp215_control_ans0_att20_acc77.csv,215,control,0,20,77
1.9893419,1.432796,0.5493507,-0.34607372,-0.24132805,7.7747307,1.2250973,pp355_control_ans0_att19_acc74.csv,355,control,0,19,74
2.7865114,1.4055378,0.5056415,-0.53501433,0.4155372,6.405873,1.337304,pp604_guess_ans0_att17_acc82.csv,604,guess,0,17,82
0.76481,0.64376336,0.6944854,-0.21810713,0.36673263,2.2172787,1.7941109,pp399_control_ans0_att16_acc64.csv,399,control,0,16,64
6.0794644,1.4019392,0.64897054,-0.69154125,0.32932934,7.533749,1.9728628,pp431_control_ans0_att20_acc100.csv,431,control,0,20,100
0.7029684,0.41972446,0.4803454,-0.3371295,0.7256601,0.51909244,1.6499653,pp248_guess_ans0_att19_acc62.csv,248,guess,0,19,62
1.8658769,1.364811,0.48699185,-0.30717993,0.5007479,2.5718477,1.6456443,pp202_guess_ans0_att20_acc75.csv,202,guess,0,20,75
5.1360073,1.390625,0.43510953,-0.64870876,0.11358467,6.7091346,1.8639574,pp519_control_ans0_att20_acc83.csv,519,control,0,20,83
0.72191256,0.6858827,0.56898475,-0.07586929,0.44954258,1.5163713,1.4733981,pp401_control_ans0_att18_acc62.csv,401,control,0,18,62
0.85577106,0.663861,0.56043935,-0.19252291,0.6201674,1.728928,1.5421436,pp64_guess_ans0_att20_acc69.csv,64,guess,0,20,69
1.1303765,1.250413,0.53706956,-0.14921981,0.20609768,2.9116497,1.2257091,pp354_guess_ans0_att18_acc64.csv,354,guess,0,18,64
0.67085737,0.5454664,0.4546815,-0.22779141,0.47558022,1.5681026,1.5760938,pp199_control_ans0_att20_acc68.csv,199,control,0,20,68
0.8089723,0.4658289,0.49722368,-0.672009,-0.19030179,1.6510735,1.7843652,pp456_guess_ans0_att20_acc61.csv,456,guess,0,20,61
0.74073637,0.5157328,0.6805313,-0.09682403,0.37753388,2.9443052,1.4212836,pp255_control_ans0_att19_acc64.csv,255,control,0,19,64
0.91220087,1.1604999,0.73736554,-0.1562205,0.36499894,3.3995035,1.4758514,pp17_control_ans0_att19_acc66.csv,17,control,0,19,66
6.5136557,1.4304899,0.50129724,-0.6645191,0.28827626,5.326997,1.9057693,pp220_guess_ans0_att20_acc95.csv,220,guess,0,20,95
0.752284,0.8127673,0.48866063,-0.12953073,0.22884087,2.981538,1.2597139,pp32_guess_ans0_att18_acc62.csv,32,guess,0,18,62
0.7085477,0.49042445,0.6498585,-0.17731985,0.20809042,2.941412,1.2860074,pp384_guess_ans0_att19_acc67.csv,384,guess,0,19,67
1.0342802,1.0890716,0.555249,0.02426997,0.5444878,2.1331627,1.46012,pp394_guess_ans0_att19_acc63.csv,394,guess,0,19,63
1.4362508,1.4051695,0.6550326,0.13744305,0.78019905,2.234631,1.7658027,pp418_guess_ans0_att19_acc63.csv,418,guess,0,19,63
0.97629017,1.1666836,0.5482233,-0.30457172,0.21990761,3.2628956,1.1410741,pp469_control_ans0_att20_acc67.csv,469,control,0,20,67
2.2350135,1.3792124,0.51303685,-0.62298733,0.4699652,6.155823,1.2863605,pp544_guess_ans0_att20_acc82.csv,544,guess,0,20,82
0.73114574,0.33588403,0.6212328,-0.19009899,0.41615614,2.3750436,1.6253479,pp235_control_ans0_att20_acc68.csv,235,control,0,20,68
