pp,symbol,cond,accuracy,meanRT_correct,meanRT_incorrect,meanRTlog_correct,meanRTlog_incorrect,0.1_correct,0.25_correct,0.3_correct,0.5_correct,0.7_correct,0.75_correct,0.9_correct,0.1_incorrect,0.25_incorrect,0.3_incorrect,0.5_incorrect,0.7_incorrect,0.75_incorrect,0.9_incorrect,skew_correct,stdRT_correct,skew_incorrect,stdRT_incorrect,n_trials,fast_errors,origin,model,study
130,0,control,0.6761363636363636,3.1793067226890757,2.8779192982456143,1.1137882664558507,1.014507934148705,2.14188,2.5479,2.5757,3.066,3.59608,3.75115,4.19594,1.90838,2.281,2.33758,2.6957,3.3137599999999994,3.5274,3.9937,1.0532775895423758,0.9604104081007871,0.6884162416101696,0.8610510372376715,176,1,empirical,none,1
130,1,control,0.6988636363636364,3.1448130081300816,3.0992867924528302,1.0998116951016013,1.0804400977051154,1.9922,2.34985,2.54562,3.0051,3.71218,3.8430999999999997,4.332599999999999,1.81604,2.2685,2.61396,2.9447,3.5704,3.8048,4.28732,0.46451216934258294,0.9442133840311201,0.5431302304776328,0.9864594408672119,176,1,empirical,none,1
131,0,guess,0.5485714285714286,1.7984968749999999,1.8668696202531645,0.48703997942311306,0.5383102244708761,0.8622000000000001,1.233425,1.32945,1.6694,1.98795,2.1506499999999997,2.69465,1.00854,1.23075,1.3148,1.7786,2.1427799999999997,2.3358499999999998,3.0141400000000003,1.5017131648373523,0.8544790059880595,0.7099533504769959,0.7793267333220173,175,0,empirical,none,1
131,1,guess,0.7485380116959064,1.855303125,1.6870372093023254,0.528900043499157,0.43075295148682796,0.97414,1.2956750000000001,1.38411,1.676,2.20138,2.293425,2.84857,0.8881399999999999,1.1023999999999998,1.18554,1.4954,2.05246,2.1921,2.735140000000001,0.9258984036192648,0.7996208086511708,0.7415644405177765,0.7362880307982663,171,1,empirical,none,1
132,0,control,0.75,6.648744186046511,8.883167441860465,1.6796434892810579,1.9639447775779835,2.66962,3.431,3.7147,4.6831,7.35328,8.1359,12.6911,2.70528,5.42485,5.486,8.0836,10.627839999999999,11.33475,15.150180000000002,2.477101226550421,5.330930909074812,0.9559751718363289,5.589043012628367,172,0,empirical,none,1
132,1,control,0.64,7.789757142857143,6.652255555555556,1.833130748809653,1.6532690143483653,2.81495,3.854025,4.520709999999999,6.0343,8.811839999999998,9.445575,14.04453,2.05566,3.30825,3.52812,4.9676,8.032119999999999,8.4375,12.55312,2.081976195879279,5.807359807706487,1.7010690432823201,4.995671981011545,175,1,empirical,none,1
133,0,guess,0.6802325581395349,3.5754700854700854,4.061883636363636,1.1058215163655005,1.1953834040737283,1.4966800000000002,2.1115,2.3000800000000003,2.9563,3.9918999999999984,4.3539,6.146400000000001,1.22098,2.064,2.2019,3.3574,5.145379999999999,5.78435,7.9819,2.211257941690982,2.356743707455668,0.8550233222919728,2.56305912590315,172,0,empirical,none,1
133,1,guess,0.7272727272727273,3.6817234375,3.0435270833333337,1.1460079884434957,0.8946747741685828,1.3783800000000002,2.167975,2.41481,3.45425,4.37324,4.447425,5.68687,1.03068,1.684725,1.83659,2.34355,3.30847,3.6462000000000003,5.319020000000001,1.9494855898362482,2.179525541140944,1.7588483274743552,2.2288318564092053,176,1,empirical,none,1
135,0,guess,0.8616352201257862,8.23270510948905,9.739331818181817,2.0360737332241876,2.2096995484996955,4.99636,5.7594,6.00992,7.5282,9.046999999999999,9.6262,12.755420000000004,5.8413200000000005,7.3583,7.53965,8.5857,10.80491,12.520475,15.260060000000001,1.2940838869105888,3.357125329415059,0.5504450567339868,3.6372784055410974,159,0,empirical,none,1
135,1,guess,0.9766081871345029,7.551473053892216,9.3798,1.971111369575622,2.1515373523837265,4.87048,5.7705,6.1529,7.102,8.200339999999999,8.54075,10.982360000000003,6.36666,6.8379,6.99498,7.33645,8.495259999999996,9.878350000000001,14.027620000000002,1.3570866233079772,2.542181498654424,1.9012997541590444,4.983338267333121,171,0,empirical,none,1
