file,r_alpha_a,r_alpha_t0,r_a_t0,pp,cond,ans,att,acc
pp104_guess_ans0_att20_acc86.csv,-0.025275758477772362,0.02481438074382134,-0.5618863871723501,104,guess,0,20,86
pp537_control_ans0_att20_acc81.csv,0.01640255240530077,-0.033243525481334725,-0.5167890464803557,537,control,0,20,81
pp141_control_ans0_att20_acc69.csv,0.01003216789855542,-0.01274810596791932,-0.9094763601929016,141,control,0,20,69
pp144_guess_ans0_att17_acc73.csv,0.0001727511772161751,0.00698689573385799,-0.31975149704882344,144,guess,0,17,73
pp217_control_ans0_att20_acc72.csv,0.019734949389868566,-0.004204638617023219,-0.45357408182606673,217,control,0,20,72
pp215_control_ans0_att20_acc77.csv,-0.009710949884377325,0.038886380136990965,-0.4949203325597714,215,control,0,20,77
pp401_control_ans0_att18_acc62.csv,-0.0048005546590050435,0.01353392492570155,-0.5727648650219671,401,control,0,18,62
pp79_control_ans0_att20_acc87.csv,0.005977155480989537,0.0010573363578333173,-0.44733726649835753,79,control,0,20,87
pp246_guess_ans0_att19_acc61.csv,0.002338174076942942,-0.009446180551682724,-0.6832248310378658,246,guess,0,19,61
pp532_guess_ans0_att20_acc81.csv,0.012302249751981032,-0.019008937881061644,-0.5934232759014759,532,guess,0,20,81
pp313_control_ans0_att20_acc71.csv,0.0066774099869426765,-0.01214701790518834,-0.9240470558849023,313,control,0,20,71
pp476_guess_ans0_att19_acc74.csv,-0.023577271259576045,0.0026989437522452293,-0.3108512322874559,476,guess,0,19,74
pp56_guess_ans0_att20_acc72.csv,-0.020017155660687253,0.007875286727835648,-0.6899614084820687,56,guess,0,20,72
pp120_guess_ans0_att20_acc65.csv,0.002449204516396083,-0.004714594849901575,-0.6391076144229365,120,guess,0,20,65
pp197_control_ans0_att20_acc100.csv,-0.01647951593062389,0.01229455974130334,-0.7294311065430694,197,control,0,20,100
pp288_guess_ans0_att18_acc59.csv,0.0010721962000272453,0.01242476403586636,-0.3317725782729368,288,guess,0,18,59
pp183_control_ans0_att20_acc88.csv,-0.02728746205220344,0.029663627758026067,-0.5200322985937897,183,control,0,20,88
pp441_control_ans0_att20_acc84.csv,0.02314220607351099,-0.006834030857181839,-0.43448620149347816,441,control,0,20,84
pp114_guess_ans0_att20_acc73.csv,0.025390079566901865,-0.031099212954610447,-0.5537268891179035,114,guess,0,20,73
pp354_guess_ans0_att18_acc64.csv,0.002839350991247234,-0.013016145631739045,-0.6155683409492886,354,guess,0,18,64
pp324_guess_ans0_att17_acc56.csv,0.011249770493171912,-0.009327832630706249,-0.511512599446212,324,guess,0,17,56
pp171_control_ans0_att20_acc79.csv,-0.0033328857904771614,0.015286510193218686,-0.5490114696596802,171,control,0,20,79
pp262_guess_ans0_att20_acc68.csv,-0.004803130227180646,-0.003062809621952426,-0.43792222818672283,262,guess,0,20,68
pp326_guess_ans0_att16_acc63.csv,-0.0007013303608662138,0.009591739638562562,-0.4624399424189576,326,guess,0,16,63
pp485_control_ans0_att20_acc99.csv,-0.016202607729768614,0.0027549225345182503,-0.6176119483770671,485,control,0,20,99
pp137_control_ans0_att20_acc76.csv,-0.005968908277110784,0.022546164222811787,-0.7306213301311184,137,control,0,20,76
pp178_guess_ans0_att20_acc70.csv,-0.010427700888689266,0.003279322522773427,-0.3668749340889035,178,guess,0,20,70
pp439_control_ans0_att20_acc84.csv,-0.01422550172736181,0.001283174536313284,-0.5478898210945602,439,control,0,20,84
pp32_guess_ans0_att18_acc62.csv,0.01859216508024187,-0.012582724398293908,-0.454717702556004,32,guess,0,18,62
pp258_guess_ans0_att20_acc69.csv,0.013320052287960701,0.0073440018809583256,-0.39556771181066486,258,guess,0,20,69
pp410_guess_ans0_att20_acc72.csv,-0.010910033339716742,0.0011065079234360718,-0.6990679985040612,410,guess,0,20,72
pp345_control_ans0_att19_acc67.csv,0.023478271937929,-0.020116799201810986,-0.5672855175093127,345,control,0,19,67
pp251_control_ans0_att20_acc83.csv,0.039532363148674865,-0.03511168084639121,-0.49852508459818184,251,control,0,20,83
pp341_control_ans0_att20_acc90.csv,0.005369189645611829,0.0034806406132579324,-0.4787010969014765,341,control,0,20,90
pp580_guess_ans0_att20_acc60.csv,0.01077735693538474,0.013121258521789442,-0.5584895153912872,580,guess,0,20,60
pp15_control_ans0_att20_acc78.csv,0.017306069972303783,0.0014930592915017892,-0.45239831476991127,15,control,0,20,78
pp135_control_ans0_att19_acc65.csv,0.02290488484795712,-0.017780688615534584,-0.5482145339839938,135,control,0,19,65
pp207_control_ans0_att20_acc72.csv,-0.008324079354516142,0.00947314782922656,-0.6967885959983797,207,control,0,20,72
pp64_guess_ans0_att20_acc69.csv,-0.01835268536188411,0.005912262935857196,-0.7362559697329197,64,guess,0,20,69
pp99_control_ans0_att20_acc89.csv,0.004960497481570782,-0.004578006073771228,-0.5020138785970792,99,control,0,20,89
pp138_guess_ans0_att20_acc79.csv,0.015048858561145488,-0.008956785942857206,-0.7265978009348554,138,guess,0,20,79
pp269_control_ans0_att20_acc64.csv,0.023370523310649798,-0.03057341983728445,-0.8306343908056764,269,control,0,20,64
pp440_guess_ans0_att19_acc67.csv,-0.0031504621235811485,0.016427748277756515,-0.7146995724043422,440,guess,0,19,67
pp216_guess_ans0_att19_acc70.csv,-0.016000635810873885,0.004164439969014447,-0.587523552729026,216,guess,0,19,70
pp146_guess_ans0_att20_acc61.csv,0.012257143861624326,0.022114801921887195,-0.5171999863432546,146,guess,0,20,61
pp366_guess_ans0_att20_acc81.csv,-0.01207096200334819,0.00907405229918264,-0.33646772436946076,366,guess,0,20,81
pp80_guess_ans0_att20_acc80.csv,-0.0007259890282700349,0.011828582219192186,-0.4877192422928138,80,guess,0,20,80
pp160_guess_ans0_att20_acc77.csv,0.019721036657041356,-0.024950267092241882,-0.7386304416600005,160,guess,0,20,77
pp132_guess_ans0_att20_acc72.csv,0.02183959281244055,-0.019509520348386263,-0.5065202773116159,132,guess,0,20,72
pp118_guess_ans0_att17_acc67.csv,-0.008858550626286666,0.030126760908510835,-0.4028104416186764,118,guess,0,17,67
pp124_guess_ans0_att20_acc67.csv,-0.004093267723498633,0.015445713909634437,-0.6118270686020417,124,guess,0,20,67
pp103_control_ans0_att19_acc64.csv,-0.01613355225281457,-0.0027804250648758963,-0.4304729722895761,103,control,0,19,64
pp210_guess_ans0_att20_acc69.csv,0.013499692570232938,-0.03032177383746969,-0.6229426039221077,210,guess,0,20,69
pp399_control_ans0_att16_acc64.csv,0.006165556802554676,-0.016115555150810954,-0.49679005085428457,399,control,0,16,64
pp195_control_ans0_att19_acc68.csv,0.013291686213682841,-0.018032625469732406,-0.4985564151026237,195,control,0,19,68
pp498_guess_ans0_att20_acc84.csv,-0.014945492238421319,0.023873685621445102,-0.5378624993514493,498,guess,0,20,84
pp96_guess_ans0_att12_acc54.csv,0.03194659837694515,-0.04167571071252629,-0.7156670330773387,96,guess,0,12,54
pp499_control_ans0_att20_acc71.csv,-0.030881095355223834,0.02408611294807166,-0.5392480554604379,499,control,0,20,71
pp392_guess_ans0_att20_acc67.csv,-0.004154044058343621,-0.004853589586793231,-0.7619077629939993,392,guess,0,20,67
pp318_guess_ans0_att19_acc63.csv,0.03502705128127239,0.022285006282448803,-0.3195408530750972,318,guess,0,19,63
pp566_guess_ans0_att20_acc64.csv,-0.00910998208131854,-0.003741112033641433,-0.6508528811679639,566,guess,0,20,64
