pp,group,block,trial_type,mean,response_action,correct,rt,att_correct,fast_outliers_crit_fix,slow_outliers_crit_fix,rt_ms,rt_log,fast_outliers_tukey,slow_outliers_tukey,n_trials_pre,n_trials_post
101,control,3,test,550,l,1,2.8646,20,0.0,0.0,2864.6,3.4570639875876017,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,2.3028,20,0.0,0.0,2302.8,3.3622562207830966,0.0,2.0,352.0,350.0
101,control,3,test,550,a,0,2.8035,20,0.0,0.0,2803.5,3.4477005604345132,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,1.2913,20,0.0,0.0,1291.3,3.111027151026175,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,2.1053,20,0.0,0.0,2105.3,3.3233139904620663,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,3.6321,20,0.0,0.0,3632.1,3.560157797131627,0.0,2.0,352.0,350.0
101,control,3,test,550,a,0,3.9355,20,0.0,0.0,3935.5,3.5949999167322457,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,7.2415,20,0.0,0.0,7241.5,3.8598285350160104,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,3.1707,20,0.0,0.0,3170.7000000000003,3.5011551526205675,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,2.0625,20,0.0,0.0,2062.5,3.314393957221963,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,2.7578,20,0.0,0.0,2757.8,3.4405627672619206,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,4.6736,20,0.0,0.0,4673.6,3.6696515396294744,0.0,2.0,352.0,350.0
101,control,2,test,550,a,0,5.573,20,0.0,0.0,5573.0,3.7460890430562004,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,5.7144,20,0.0,0.0,5714.400000000001,3.756970637116486,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,4.6644,20,0.0,0.0,4664.4,3.668795786678891,0.0,2.0,352.0,350.0
101,control,2,test,550,a,0,6.6697,20,0.0,0.0,6669.7,3.8241062999923088,0.0,2.0,352.0,350.0
101,control,2,test,550,a,0,2.3333,20,0.0,0.0,2333.2999999999997,3.367970581043394,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,2.0761,20,0.0,0.0,2076.1,3.3172482684453195,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,6.2965,20,0.0,0.0,6296.5,3.799099207695827,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,2.1386,20,0.0,0.0,2138.6,3.330129562487524,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,2.7056,20,0.0,0.0,2705.6,3.4322635902536667,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,3.5039,20,0.0,0.0,3503.8999999999996,3.5445517030702685,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,1.4502,20,0.0,0.0,1450.2,3.161427900791294,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,1.7735,20,0.0,0.0,1773.5,3.2488311928079616,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,2.2668,20,0.0,0.0,2266.7999999999997,3.355413203969458,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,2.2642,20,0.0,0.0,2264.2000000000003,3.354914786058673,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,2.2669,20,0.0,0.0,2266.9,3.355432362470549,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,2.0865,20,0.0,0.0,2086.5,3.3194183890477276,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,2.6595,20,0.0,0.0,2659.5,3.424799994656599,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,2.0751,20,0.0,0.0,2075.1,3.3170390303983432,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,2.2489,20,0.0,0.0,2248.9,3.351970144446861,0.0,2.0,352.0,350.0
101,control,3,test,550,a,0,3.6008,20,0.0,0.0,3600.8,3.5563989999304226,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,2.7753,20,0.0,0.0,2775.3,3.4433099356757997,0.0,2.0,352.0,350.0
101,control,3,test,450,l,0,3.6335,20,0.0,0.0,3633.5,3.560325164529279,0.0,2.0,352.0,350.0
101,control,3,test,450,l,0,4.5049,20,0.0,0.0,4504.900000000001,3.653685154931017,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,2.1385,20,0.0,0.0,2138.5,3.3301092545928297,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,1.505,20,0.0,0.0,1505.0,3.1775364999298623,0.0,2.0,352.0,350.0
101,control,3,test,550,a,0,3.28,20,0.0,0.0,3280.0,3.515873843711679,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,3.2181,20,0.0,0.0,3218.1000000000004,3.5075995353420706,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,2.1833,20,0.0,0.0,2183.3,3.3391134147714006,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,4.2435,20,0.0,0.0,4243.5,3.627724206512672,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,5.8863,20,0.0,0.0,5886.3,3.7698423924942053,0.0,2.0,352.0,350.0
101,control,4,test,450,l,0,1.0146,20,0.0,0.0,1014.5999999999999,3.0062948579813855,0.0,2.0,352.0,350.0
101,control,4,test,450,a,1,2.773,20,0.0,0.0,2773.0,3.4429498695778618,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,5.227,20,0.0,0.0,5227.0,3.7182525000977504,0.0,2.0,352.0,350.0
101,control,3,test,550,a,0,6.5042,20,0.0,0.0,6504.2,3.813193887069551,0.0,2.0,352.0,350.0
101,control,3,test,450,l,0,4.841,20,0.0,0.0,4841.0,3.6849350826408895,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,1.9637,20,0.0,0.0,1963.7,3.293075140122864,0.0,2.0,352.0,350.0
101,control,3,test,550,a,0,4.0309,20,0.0,0.0,4030.9,3.6054020241548144,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,2.3732,20,0.0,0.0,2373.2000000000003,3.3753343396654163,0.0,2.0,352.0,350.0
101,control,3,test,550,a,0,2.5359,20,0.0,0.0,2535.8999999999996,3.4041321236953133,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,4.4465,20,0.0,0.0,4446.5,3.6480182966516828,0.0,2.0,352.0,350.0
101,control,3,test,450,l,0,7.4529,20,0.0,0.0,7452.9,3.872325294081512,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,5.0922,20,0.0,0.0,5092.2,3.7069054525602967,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,3.6276,20,0.0,0.0,3627.6000000000004,3.559619393225442,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,3.6152,20,0.0,0.0,3615.2000000000003,3.5581323283231456,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,2.0767,20,0.0,0.0,2076.7000000000003,3.3173737629025317,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,2.4406,20,0.0,0.0,2440.6,3.3874966069355636,0.0,2.0,352.0,350.0
101,control,4,test,550,l,1,1.9473,20,0.0,0.0,1947.3,3.289432863850786,0.0,2.0,352.0,350.0
101,control,4,test,450,a,1,1.4323,20,0.0,0.0,1432.3,3.156033991923621,0.0,2.0,352.0,350.0
101,control,4,test,550,l,1,1.5585,20,0.0,0.0,1558.5,3.1927068066128585,0.0,2.0,352.0,350.0
101,control,4,test,450,l,0,3.5265,20,0.0,0.0,3526.5,3.5473438881806207,0.0,2.0,352.0,350.0
101,control,4,test,450,a,1,4.1535,20,0.0,0.0,4153.5,3.618414214801256,0.0,2.0,352.0,350.0
101,control,4,test,550,l,1,2.1293,20,0.0,0.0,2129.3,3.3282368540949165,0.0,2.0,352.0,350.0
101,control,4,test,450,l,0,2.7867,20,0.0,0.0,2786.7000000000003,3.445090217598355,0.0,2.0,352.0,350.0
101,control,4,test,550,l,1,4.2022,20,0.0,0.0,4202.200000000001,3.623476718424375,0.0,2.0,352.0,350.0
101,control,3,test,450,l,0,1.7455,20,0.0,0.0,1745.5,3.241919853150198,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,1.2187,20,0.0,0.0,1218.6999999999998,3.085896811131588,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,1.9012,20,0.0,0.0,1901.2,3.279027805622721,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,1.6417,20,0.0,0.0,1641.7,3.215293798186514,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,1.5334,20,0.0,0.0,1533.4,3.1856554589202157,0.0,2.0,352.0,350.0
101,control,3,test,550,a,0,2.1826,20,0.0,0.0,2182.6,3.3389741508670796,0.0,2.0,352.0,350.0
101,control,1,test,450,l,0,5.1284,20,0.0,0.0,5128.4,3.7099818915142415,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,5.7032,20,0.0,0.0,5703.2,3.7561186017049333,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,2.4645,20,0.0,0.0,2464.5,3.391728822490743,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,3.1588,20,0.0,0.0,3158.7999999999997,3.4995221293410257,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,1.8913,20,0.0,0.0,1891.3,3.2767604225577776,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,2.0195,20,0.0,0.0,2019.4999999999998,3.305243857506007,0.0,2.0,352.0,350.0
101,control,1,test,550,a,0,2.4026,20,0.0,0.0,2402.6,3.3806814727378263,0.0,2.0,352.0,350.0
101,control,4,test,450,l,0,2.3683,20,0.0,0.0,2368.3,3.3744367149817123,0.0,2.0,352.0,350.0
101,control,4,test,450,a,1,4.2067,20,0.0,0.0,4206.7,3.62394154149401,0.0,2.0,352.0,350.0
101,control,4,test,450,l,0,3.702,20,0.0,0.0,3702.0,3.5684364144168854,0.0,2.0,352.0,350.0
101,control,4,test,550,l,1,3.171,20,0.0,0.0,3171.0,3.501196242027089,0.0,2.0,352.0,350.0
101,control,4,test,450,a,1,1.602,20,0.0,0.0,1602.0,3.204662511748219,0.0,2.0,352.0,350.0
101,control,4,test,550,l,1,2.1157,20,0.0,0.0,2115.7,3.325454086056255,0.0,2.0,352.0,350.0
101,control,4,test,550,a,0,2.0647,20,0.0,0.0,2064.7000000000003,3.3148569577795715,0.0,2.0,352.0,350.0
101,control,4,test,550,l,1,2.1233,20,0.0,0.0,2123.3,3.3270113597524094,0.0,2.0,352.0,350.0
101,control,4,test,550,l,1,3.8691,20,0.0,0.0,3869.1,3.587609954556332,0.0,2.0,352.0,350.0
101,control,4,test,450,a,1,2.7579,20,0.0,0.0,2757.8999999999996,3.44057851483637,0.0,2.0,352.0,350.0
101,control,4,test,550,l,1,1.4796,20,0.0,0.0,1479.6000000000001,3.1701443226433565,0.0,2.0,352.0,350.0
101,control,4,test,450,l,0,6.8492,20,0.0,0.0,6849.2,3.8356398480069784,0.0,2.0,352.0,350.0
101,control,4,test,450,a,1,7.2125,20,0.0,0.0,7212.5,3.858085826163788,0.0,2.0,352.0,350.0
101,control,4,test,550,a,0,4.5051,20,0.0,0.0,4505.099999999999,3.6537044354851558,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,1.6827,20,0.0,0.0,1682.7,3.226006694729179,0.0,2.0,352.0,350.0
101,control,2,test,450,l,0,2.4802,20,0.0,0.0,2480.2,3.3944867031625847,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,2.7964,20,0.0,0.0,2796.4,3.4465992934569702,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,2.9585,20,0.0,0.0,2958.5,3.4710715736130306,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,2.727,20,0.0,0.0,2727.0,3.43568513794163,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,3.5742,20,0.0,0.0,3574.2,3.5531788504824884,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,2.3265,20,0.0,0.0,2326.5,3.3667030568692864,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,2.6743,20,0.0,0.0,2674.3,3.427210124330789,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,3.6098,20,0.0,0.0,3609.7999999999997,3.557483140603017,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,1.9664,20,0.0,0.0,1966.3999999999999,3.293671865542379,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,2.2565,20,0.0,0.0,2256.5,3.3534353378561645,0.0,2.0,352.0,350.0
101,control,2,test,450,l,0,1.8611,20,0.0,0.0,1861.1,3.2697697091229223,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,2.0975,20,0.0,0.0,2097.5,3.321701969500738,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,9.2779,20,0.0,0.0,9277.900000000001,3.9674496872512646,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,8.5824,20,0.0,0.0,8582.4,3.9336087518354863,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,9.4067,20,0.0,0.0,9406.7,3.973437293655833,0.0,2.0,352.0,350.0
101,control,3,test,550,l,1,2.6373,20,0.0,0.0,2637.3,3.421159534774081,0.0,2.0,352.0,350.0
101,control,3,test,450,a,1,1.5753,20,0.0,0.0,1575.3,3.1973632730067196,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,5.8117,20,0.0,0.0,5811.7,3.7643031879199866,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,4.2973,20,0.0,0.0,4297.3,3.633195673394554,0.0,2.0,352.0,350.0
101,control,1,test,450,l,0,2.685,20,0.0,0.0,2685.0,3.4289442900355747,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,3.3992,20,0.0,0.0,3399.2,3.531376718081458,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,5.4176,20,0.0,0.0,5417.6,3.733806936428841,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,3.8235,20,0.0,0.0,3823.5,3.5824610945249487,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,2.867,20,0.0,0.0,2867.0,3.4574276929464847,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,3.3493,20,0.0,0.0,3349.2999999999997,3.524954049453683,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,3.1306,20,0.0,0.0,3130.6,3.4956275809064907,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,3.4664,20,0.0,0.0,3466.4,3.5398786760263183,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,4.2329,20,0.0,0.0,4232.9,3.6266380086201986,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,2.7083,20,0.0,0.0,2708.2999999999997,3.432696769735502,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,2.7694,20,0.0,0.0,2769.4,3.442385687867871,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,2.3089,20,0.0,0.0,2308.9,3.3634051237406255,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,4.3777,20,0.0,0.0,4377.7,3.6412459964258956,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,4.5507,20,0.0,0.0,4550.7,3.6580782060537373,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,4.8635,20,0.0,0.0,4863.5,3.686948920211501,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,5.7642,20,0.0,0.0,5764.2,3.7607390410853063,0.0,2.0,352.0,350.0
